Taxon	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;Other;Other	0.008231505	0.006045782	0.007602326	0.007436236	0.010099942	0.00762161	0.009305088	0.00535028	0.007712326
k__Bacteria;p__AD3;Other	2.56E-05	0.000415359	0	4.63E-05	0	0	0	0	4.73E-05
k__Bacteria;p__AD3;c__	0	0.000323057	0	0	0	0	0	0	0
k__Bacteria;p__AD3;c__ABS-6	0.000332328	0.003045966	0.000196049	0.000718141	0.000105759	8.97E-05	7.42E-05	4.37E-05	0.000402176
k__Bacteria;p__AD3;c__JG37-AG-4	0.000127818	0.000415359	0	0.000185327	7.93E-05	0.000134499	0	4.37E-05	0.000165602
k__Bacteria;p__Acidobacteria;Other	0.002505241	0.003322872	0.00261398	0.001598443	0.001718576	0.00224165	0.001905563	0.001987247	0.002200142
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	0.000818038	0.003045966	0.001285207	0.002965228	0.001850775	0.001412239	0.000494951	0.000524109	0.002460374
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.001891712	0.007753369	0.002069401	0.003544374	0.002485326	0.002420982	0.001163136	0.000655136	0.003595931
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	0.398767831	0.285074765	0.280305836	0.270623393	0.214769182	0.289015916	0.274277371	0.354821803	0.282564467
k__Bacteria;p__Acidobacteria;c__BPC102	0	0	0.000174265	2.32E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__DA052	0.084564651	0.09631715	0.118347964	0.095976093	0.151102533	0.102734813	0.104731736	0.064792977	0.102058197
k__Bacteria;p__Acidobacteria;c__EC1113	0.000409019	0.000599963	0.000130699	0.00027799	0.000343715	0.000515579	9.90E-05	0.000327568	0.000425834
k__Bacteria;p__Acidobacteria;c__Holophagae	2.56E-05	0	0.00047923	0	0	0	0.00081667	8.74E-05	0
k__Bacteria;p__Acidobacteria;c__PAUC37f	0	9.23E-05	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.014162278	0.011814658	0.010347006	0.014362823	0.014303844	0.016319211	0.010591962	0.009324773	0.011970665
k__Bacteria;p__Acidobacteria;c__Sva0725	5.11E-05	0.00046151	0	0.000138995	0.000317276	4.48E-05	4.95E-05	0	0.00018926
k__Bacteria;p__Acidobacteria;c__TM1	0.005547318	0.00276906	0.016206679	0.006602266	0.008963037	0.006254203	0.005568204	0.010613208	0.00674237
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	2.56E-05	0.000230755	0.000283181	0.000370654	0.000449474	2.24E-05	0.000197981	0	0.000141945
k__Bacteria;p__Acidobacteria;c__iii1-8	5.11E-05	9.23E-05	0.000522796	0.000463317	2.64E-05	8.97E-05	0	0	2.37E-05
k__Bacteria;p__Actinobacteria;Other	0.000102255	4.62E-05	0	0.000115829	0	8.97E-05	9.90E-05	8.74E-05	4.73E-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.005879646	0.00456895	0.000936676	0.001691107	0.001982973	0.002667563	0.003093447	0.003952655	0.002744263
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.023544148	0.018552704	0.018341429	0.040841383	0.02046428	0.031226182	0.027049099	0.037430119	0.03548616
k__Bacteria;p__Actinobacteria;c__OPB41	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.002735314	0.002122946	0.000566362	0.001899599	0.001110465	0.000941493	0.002029301	0.002402166	0.001703336
k__Bacteria;p__Armatimonadetes;Other	0	0	0	0	0	0	4.95E-05	0	0
